x,mu_lo,mu_hi,sigma_lo,sigma_hi,xi_lo,xi_hi
0.0,-1.260768266461057,3.860768266461056,-0.7183355604324473,2.918335560432446,-0.9115176487284132,1.5115176487284128
0.0031447373909807,-1.2606948539373557,3.8606182026788143,-0.7181704368386468,2.918124978694218,-0.911490865031354,1.5113954878167704
0.0062894747819615,-1.2604746650844252,3.8601680729594903,-0.7176752491956127,2.917493437282328,-0.9114105351706512,1.5110290566350293
0.0094342121729423,-1.2601078460258082,3.859418062151684,-0.7168505465831434,2.916441547260468,-0.911276722815588,1.5104185098109628
0.012578949563923,-1.259594640194871,3.8583684782218257,-0.7156972430170763,2.9149703259196573,-0.9110895339990526,1.5095641049428112
0.0157236869549038,-1.258935388176445,3.8570197520827474,-0.7142166157765382,2.913081195058543,-0.910849116995876,1.5084662024294335
0.0188684243458846,-1.2581305274854122,3.8553724373540095,-0.7124103030682569,2.910775978582018,-0.9105556621521732,1.5071252652322114
0.0220131617368654,-1.2571805922817358,3.853427210053426,-0.71028030103374,2.9080568994239875,-0.9102094016647816,1.505541858567812
0.0251578991278461,-1.2560862130231751,3.851184868221087,-0.7078289601071914,2.9049265758021834,-0.9098106093144368,1.5037166495354917
0.0283026365188269,-1.254848116055391,3.848646331475551,-0.7050589807335159,2.901388016814445,-0.9093596001507688,1.5016504066770475
0.0314473739098077,-1.253467123139365,3.845812640502172,-0.7019734084572364,2.897444617387327,-0.9088567301290632,1.4993439994694004
0.0345921113007885,-1.2519441509175386,3.842684956474934,-0.6985756283952167,2.893100152589996,-0.90830239570141,1.4967983977524852
0.0377368486917692,-1.2502802103180717,3.8392645604112463,-0.6948693591069963,2.8883587713273093,-0.9076970333615598,1.4940146710918103
0.04088158608275,-1.2484764058981268,3.8355528524605815,-0.6908586458786257,2.883224989428011,-0.9070411191437894,1.490993988076057
0.0440263234737308,-1.246533935126794,3.8315513511275943,-0.6865478534370371,2.877703682145213,-0.9063351680780004,1.4877376155519968
0.0471710608647116,-1.2444540876078587,3.827261692429949,-0.6819416581133655,2.8718000760876348,-0.905579733600539,1.4842469177962916
0.0503157982556923,-1.242238244242957,3.822685628991384,-0.6770450394751082,2.8655197406016195,-0.9047754069214629,1.4805233556249753
0.0534605356466731,-1.2398878763362189,3.8178250290711624,-0.6718632714483075,2.858868578625211,-0.9039228163507308,1.4765684854431722
0.0566052730376539,-1.2374045446407718,3.8126818755302656,-0.6664019129520264,2.8518528170366975,-0.9030226265833547,1.4723839582351888
0.0597500104286347,-1.234789898347078,3.80725826473434,-0.6606667980683429,2.8444789965209596,-0.9020755379429606,1.4679715184945068
0.0628947478196154,-1.232045674015457,3.8015564053957633,-0.6546640257728313,2.836753960978744,-0.9010822855887308,1.4633330030987604
0.0660394852105962,-1.229173694451901,3.7955786173539376,-0.6483999492505585,2.828684846504032,-0.9000436386828694,1.4584703401269377
0.069184222601577,-1.2261758675289962,3.7893273302956816,-0.6418811648242526,2.8202790699563107,-0.8989603995224109,1.4533855476227435
0.0723289599925578,-1.2230541849523555,3.782805082416097,-0.6351145005217504,2.811544317155021,-0.8978334026354113,1.4480807323042733
0.0754736973835385,-1.219810720973454,3.77601451902087,-0.6281070043105714,2.8024885307241965,-0.8966635138431855,1.442558088221792
0.0786184347745193,-1.2164476310499814,3.7689583910711097,-0.6208659320283734,2.7931198976162186,-0.8954516292900581,1.4368198953652085
0.0817631721655001,-1.2129671504545083,3.761639553671565,-0.6133987350382724,2.783446836343878,-0.8941986744423662,1.430868518223121
